"Accident_Index","Speed_limit","year","Location_Easting_OSGR","Location_Northing_OSGR","Longitude","Latitude"
"0027119",30,2019,323255,676885,-3.23142578155311,55.9787888866258
"0028019",30,2019,330083,673405,-3.12112659932945,55.9485724680429
"0025819",40,2019,311993,672051,-3.41026304436139,55.9334351103665
"0025919",20,2019,325944,673644,-3.18745273483517,55.95009855119
"0026019",20,2019,326217,672504,-3.18276991835612,55.9399001605269
"0028419",40,2019,318566,674889,-3.30594197506362,55.9600865892592
"0039819",30,2019,331234,672459,-3.10245849956852,55.9402407707488
"0020319",20,2019,326550,675130,-3.17815652677082,55.9635401785039
"0020419",30,2019,329310,671620,-3.13303327066732,55.9324245660928
"0023019",40,2019,312490,677650,-3.404130507933,55.9838163560538
"0020619",30,2019,324990,672910,-3.20252119099398,55.9433570408557
"0020719",30,2019,330490,671760,-3.114186455849,55.933854453437
"0020819",30,2019,328680,672040,-3.14322587449024,55.9361042666664
"0021419",30,2019,331700,671800,-3.09483276146576,55.9343874183293
"0021219",20,2019,323270,672970,-3.23006921661699,55.9436241753966
"0021319",30,2019,328090,671670,-3.15256940648942,55.9326925755071
"0021819",20,2019,325980,674050,-3.18698800925407,55.9537511288915
"0022119",30,2019,330820,672920,-3.10920326329522,55.9443224860239
"0022019",20,2019,323980,673660,-3.21889934024801,55.9499352075454
"0022319",20,2019,326070,673680,-3.18544543713138,55.9504413589338
"0022419",20,2019,325880,673380,-3.18840467484845,55.9477172075715
"0022719",20,2019,324450,672430,-3.21103009034346,55.9389606401257
"0023119",20,2019,318620,673280,-3.3045910245785,55.9456430466845
"0024019",20,2019,325874,673779,-3.18861055242725,55.9513004246022
"0024119",30,2019,323200,673191,-3.23125267016119,55.9455981549203
"0024219",20,2019,325147,675120,-3.20062259011402,55.9632334728615
"0024619",20,2019,326347,676966,-3.1819104215381,55.9800014833348
"0024819",20,2019,322707,674293,-3.23946051500753,55.9554179044652
"0027719",20,2019,324633,670695,-3.20761625027392,55.9234042774252
"0031719",20,2019,326996,674989,-3.17097557863598,55.9623416818423
"0029119",20,2019,323941,672563,-3.21921396635417,55.9400749837031
"0029619",20,2019,323013,673192,-3.23424630887592,55.9455771836521
"0028619",30,2019,323303,677007,-3.23069158543837,55.9798924488506
"0028819",20,2019,326510,676498,-3.17917092799617,55.975822546334
"0027619",20,2019,326799,675596,-3.17429559633328,55.967764244304
"0026419",20,2019,325377,673893,-3.19659902442541,55.9522474395896
"0027019",30,2019,323268,674986,-3.23067573873904,55.9617329241978
"0020919",30,2019,321960,673130,-3.25108386401322,55.9448502332289
"0033219",20,2019,327029,675225,-3.17051110591664,55.9644666564551
"0034419",20,2019,326835,670793,-3.17241432190673,55.9246250079203
"0033619",30,2019,321562,674919,-3.25797570739045,55.9608552038404
"0034819",30,2019,327727,676287,-3.15961770873796,55.9741121559116
"0032119",20,2019,324223,673348,-3.21492133655563,55.9471710231259
"0032519",20,2019,325303,674032,-3.19782234177156,55.9534845336023
"0030619",20,2019,326754,675012,-3.17485734738206,55.962511396978
"0013119",20,2019,327730,674990,-3.15922115277709,55.9624618097444
"0030519",20,2019,327740,668389,-3.15729157335386,55.9031669409595
"0035419",30,2019,318620,674940,-3.30509270557978,55.9605538534617
"0030819",20,2019,326391,674886,-3.18063615513496,55.9613239970171
"0053519",20,2019,322857,673296,-3.23677321705474,55.9464863364668
"0051819",30,2019,328612,675776,-3.14530478245127,55.9696544661361
"0051919",20,2019,324423,673849,-3.21186033207254,55.9517029079192
"0054319",30,2019,318973,674530,-3.29931670151393,55.9569308011673
"0055119",20,2019,324420,674664,-3.21213717372328,55.9590233607025
"0052119",30,2019,326995,671334,-3.17000094520564,55.9295091043592
"0052419",40,2019,317945,672259,-3.3150847051727,55.9363571272793
"0052919",20,2019,325579,674398,-3.19350456241654,55.9568151180955
"0041819",20,2019,326867,675727,-3.17324207691458,55.9689513699884
"0041919",30,2019,325827,674005,-3.18942527378593,55.9533232776473
"0044019",30,2019,323540,675844,-3.2265637916516,55.9694834799174
"0041019",30,2019,331371,671708,-3.10007444725197,55.933514059433
"0041119",30,2019,318952,668116,-3.29772546613548,55.8993136774035
"0041319",30,2019,320580,669059,-3.27197441208133,55.9080558890024
"0040319",40,2019,327425,666954,-3.1619430290715,55.8902289171971
"0040419",30,2019,321879,676514,-3.25336265756008,55.9752341285628
"0040719",20,2019,325308,673844,-3.19769013521729,55.9517965489393
"0039919",30,2019,324728,668278,-3.20542243122564,55.9017077101091
"0035219",20,2019,327110,671927,-3.16832116583726,55.9348534348061
"0038019",20,2019,323132,672337,-3.23209753231168,55.9379160599574
"0035919",20,2019,321228,674356,-3.26315941047296,55.9557433060755
"0038619",20,2019,326524,671753,-3.17765157889257,55.9332011067204
"0039519",20,2019,323369,672442,-3.22833441756497,55.9388971247287
"0036319",30,2019,319273,673371,-3.29416580750492,55.9465706995508
"0036519",20,2019,326304,673074,-3.18153338463276,55.9450337469598
"0036719",30,2019,330435,672525,-3.11526410767289,55.9407185336076
"0037219",20,2019,324210,673339,-3.21512690804856,55.9470881260681
"0037319",30,2019,321912,676538,-3.25284098893979,55.9754550851464
"0038919",20,2019,325765,673989,-3.19041352430858,55.9531699655643
"0045019",30,2019,320776,671111,-3.26944244676921,55.9265205081594
"0038219",30,2019,320645,675155,-3.27272949985444,55.9628242849781
"0042719",20,2019,325869,674012,-3.18875475229607,55.9533926473357
"0043219",40,2019,314246,672548,-3.37437023327374,55.9383067598966
"0042519",20,2019,326094,674782,-3.18536375523655,55.9603441212245
"0042619",30,2019,323840,675894,-3.22177280102557,55.9699803468227
"0042919",20,2019,323003,672275,-3.2341443444456,55.9373384657178
"0043419",20,2019,326440,676769,-3.18036648514347,55.9782461513694
"0043619",20,2019,329757,674620,-3.12666259698264,55.959439216054
"0043819",40,2019,318597,674957,-3.30546614531882,55.9607026527437
"0043719",40,2019,320674,675121,-3.27225506819856,55.9625236754273
"0044219",20,2019,326219,672572,-3.18275652747598,55.9405113015866
"0044319",30,2019,324840,673054,-3.20496233852359,55.9446270987608
"0044419",30,2019,323272,671258,-3.22954986926895,55.9282461136378
"0044519",20,2019,326999,674999,-3.17093024816427,55.9624319669361
"0044719",20,2019,324301,673925,-3.21383490285701,55.9523663673816
"0047919",20,2019,325422,673974,-3.19590100124603,55.9529820406838
"0045419",20,2019,325267,674122,-3.19842370947357,55.9542873784991
"0045819",30,2019,329139,670185,-3.13539261590324,55.9195087307261
"0045719",20,2019,325377,673884,-3.19659653010846,55.9521665945169
"0045919",30,2019,327041,671272,-3.16924812403867,55.9289591539703
"0046219",20,2019,325716,673739,-3.19112907267246,55.950916681992
"0046519",20,2019,329749,674370,-3.12672544644307,55.9571922948041
"0048819",20,2019,325989,674347,-3.18692556475656,55.9564204126385
"0049319",30,2019,320244,670867,-3.27788182755947,55.9242407394309
"0046819",20,2019,328534,674086,-3.14610528683603,55.9544616920678
"0047219",30,2019,322014,670657,-3.24950411164059,55.9226449534648
"0048119",20,2019,326169,672703,-3.18359269536056,55.9416803676967
"0048419",20,2019,323372,677262,-3.22965880826617,55.9821940539994
"0050119",20,2019,325440,672574,-3.19522526955946,55.9404089207722
"0061819",20,2019,324908,673112,-3.20389002962254,55.9451587415578
"0048719",30,2019,327463,668099,-3.16164297300938,55.9005201645599
"0050019",30,2019,327413,671203,-3.16327725855317,55.9283956963765
"0049019",20,2019,325936,673657,-3.18758438524416,55.950214093314
"0049219",20,2019,324779,673389,-3.2060323163482,55.9476267700012
"0049519",40,2019,313388,671506,-3.3877663170637,55.9287934037574
"0065519",20,2019,325116,674826,-3.20103723024425,55.9605877040736
"0063419",20,2019,326687,675366,-3.17602678553794,55.9656810856966
"0061719",30,2019,329658,669366,-3.12687663535725,55.9122278719829
"0062219",20,2019,325755,672315,-3.19011222541866,55.9381311846344
"0062319",40,2019,320592,671040,-3.2723653854496,55.9258523670602
"0062519",30,2019,329119,674266,-3.13678598959552,55.9561654025471
"0062419",30,2019,327376,669446,-3.16339630659069,55.9126070794932
"0062819",40,2019,329057,670140,-3.13669254071636,55.9190923933513
"0063119",20,2019,324112,673627,-3.21677683671512,55.9496596671305
"0063319",20,2019,324258,673240,-3.2143306872847,55.9462064118393
"0063919",20,2019,330398,673937,-3.1162212494049,55.9533972350099
"0064119",20,2019,326547,675154,-3.17821112381263,55.9637553070209
"0063619",20,2019,328767,671769,-3.14176191772129,55.9336827920746
"0064319",20,2019,326947,676078,-3.17205604369398,55.9721165391944
"0064019",20,2019,326333,672611,-3.18094256923694,55.9408791387525
"0064219",30,2019,319232,673585,-3.29488627140834,55.9484860491082
"0068319",40,2019,327037,667996,-3.16842649107238,55.8995304630337
"0065019",20,2019,322640,673822,-3.24039794337401,55.9511762855714
"0065619",20,2019,326310,674953,-3.18195163964417,55.9619134104407
"0065319",20,2019,325353,673072,-3.19675571157733,55.9448688361837
"0055819",30,2019,323512,668992,-3.22506754369934,55.9079295001282
"0056419",20,2019,320643,675163,-3.27276388725278,55.9628958142597
"0056719",30,2019,323693,673226,-3.22337099087542,55.9459911706556
"0055719",30,2019,319288,673119,-3.29385020055522,55.9443096408152
"0056119",20,2019,323609,672615,-3.224542373524,55.9404893769275
"0056319",40,2019,314536,669174,-3.36866050800357,55.9080524384919
"0053719",20,2019,325925,673704,-3.18777341768369,55.9506345880464
"0053319",20,2019,322551,671325,-3.24110514602085,55.9287322446989
"0057419",20,2019,325293,674180,-3.19802351758584,55.9548124281113
"0054519",20,2019,326692,676351,-3.17621519687303,55.9745299337932
"0054219",20,2019,324240,672780,-3.21448946360647,55.9420715116131
"0052619",20,2019,323154,669323,-3.23088679421665,55.9108456895651
"0052819",30,2019,322561,671321,-3.2409439949962,55.928697926258
"0044819",30,2019,322212,670836,-3.24638818388371,55.924284947419
