"nearest_line_id","ID","Accident_Index","Location_Easting_OSGR","Location_Northing_OSGR","Longitude.before","Latitude.before","Police_Force","Accident_Severity","Number_of_Vehicles","Number_of_Casualties","Date","Day_of_Week","Time","Local_Authority_.District.","Local_Authority_.Highway.","X1st_Road_Class","X1st_Road_Number","Road_Type","Speed_limit","Junction_Detail","Junction_Control","X2nd_Road_Class","X2nd_Road_Number","Pedestrian_Crossing.Human_Control","Pedestrian_Crossing.Physical_Facilities","Light_Conditions","Weather_Conditions","Road_Surface_Conditions","Special_Conditions_at_Site","Carriageway_Hazards","Urban_or_Rural_Area","Did_Police_Officer_Attend_Scene_of_Accident","LSOA_of_Accident_Location","year","Longitude","Latitude","snap_dist","X","Y","optional","FEATID","LAYER","Shape_Length"
"114",1770,"2015950001942",322870,676480,-3.237478,55.975089,95,3,1,1,"2015-04-23",5,19:10:00,923,"S12000036",6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,NA,"2015",-3.23747764600962,55.9750891465663,1.10020395427063,-3.23747415096657,55.9750795288058,TRUE,114,"20mph existing streets",684.484796347315
"114",10,"2013950003817",322900,676480,-3.237014,55.97514,95,3,2,1,"2013-08-02",6,22:30:00,923,"S12000036",6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2,NA,"2013",-3.23699706428685,55.9750939711546,4.16616392849518,-3.23700965722679,55.9751304624237,TRUE,114,"20mph existing streets",684.484796347315
"1147",3647,"0030519",327740,668389,-3.15729157335386,55.9031669409595,NA,3,2,1,"2019-03-13",NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019",-3.15729157335386,55.9031669409595,0.19702620045191,-3.15729429357285,55.903167809807,TRUE,1147,"20mph existing streets",786.55355718802
"115",1302,"2014950005405",323310,676530,-3.23046,55.975655,95,3,3,3,"2014-10-25",7,01:03:00,923,"S12000036",6,0,1,30,2,4,6,0,0,0,4,1,1,0,0,1,1,NA,"2014",-3.23044336083109,55.9756088514395,1.00701141832321,-3.23044364606432,55.9756178340788,TRUE,115,"20mph existing streets",1447.39804911879
"115",2123,"2015950004131",323310,676530,-3.230443,55.975609,95,3,2,1,"2015-09-15",3,18:55:00,923,"S12000036",6,0,6,30,2,4,6,0,0,0,1,1,1,0,0,1,1,NA,"2015",-3.23044336083109,55.9756088514395,1.00701141832321,-3.23044364606432,55.9756178340788,TRUE,115,"20mph existing streets",1447.39804911879
"115",2831,"2016950003052",323310,676530,-3.229023,55.97567,95,3,2,1,"2016-06-20",2,13:00:00,923,"S12000036",6,0,1,30,2,4,6,0,0,0,1,1,1,0,0,1,1,NA,"2016",-3.23044336083109,55.9756088514395,1.00701141832321,-3.23044364606432,55.9756178340788,TRUE,115,"20mph existing streets",1447.39804911879
"115",2623,"2016950001735",323310,676530,-3.229023,55.97567,95,3,2,1,"2016-03-31",5,11:10:00,923,"S12000036",6,0,1,30,2,4,6,0,0,8,1,1,1,0,0,1,1,NA,"2016",-3.23044336083109,55.9756088514395,1.00701141832321,-3.23044364606432,55.9756178340788,TRUE,115,"20mph existing streets",1447.39804911879
"115",2417,"2016950000037",323300,676530,-3.229183,55.975668,95,3,2,1,"2016-01-02",7,18:00:00,923,"S12000036",6,0,6,20,6,4,6,0,0,0,4,1,2,0,0,1,1,NA,"2016",-3.2306035572778,55.9756072519575,0.768966060786626,-3.23060418709611,55.9756141031992,TRUE,115,"20mph existing streets",1447.39804911879
"115",3195,"2018950001075",323360,676530,-3.229643,55.975611,95,3,1,1,"2018-08-09",5,18:17:00,923,"S12000036",6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2,NA,"2018",-3.22964237835401,55.9756168457274,2.92863083757894,-3.22964527510717,55.9756429230255,TRUE,115,"20mph existing streets",1447.39804911879
"1164",652,"2014950001474",322750,676090,-3.239305,55.971612,95,3,1,1,"2014-03-14",6,19:30:00,923,"S12000036",6,0,6,30,9,4,6,0,0,0,7,4,1,0,0,1,2,NA,"2014",-3.23928793575313,55.9715666106945,1.23917536515371,-3.23929174864727,55.9715774571392,TRUE,1164,"20mph existing streets",289.532430746167
